Height	Wind Speed	Wind Direction	Standard Deviation	Length Scale
30.00	 6.07	 0.02	 0.00	 0.00
40.00	 7.93	-9.18	-0.00	-0.00
50.00	 9.23	-10.78	-0.00	-0.00
60.00	 9.33	-9.28	-0.00	-0.00
70.00	 9.69	-7.68	-0.00	-0.00
80.00	10.52	-6.58	-0.00	-0.00
90.00	11.54	-5.38	-0.00	-0.00
100.00	12.78	-4.08	-0.00	-0.00
110.00	14.11	-2.88	-0.00	-0.00
120.00	14.81	-1.58	-0.00	-0.00
130.00	14.94	-0.38	-0.00	-0.00
140.00	14.92	-0.18	-0.00	-0.00
150.00	14.48	 2.52	 0.00	 0.00
160.00	13.42	 6.72	 0.00	 0.00
170.00	12.86	 8.02	 0.00	 0.00
180.00	12.90	 6.92	 0.00	 0.00
190.00	13.02	 6.82	 0.00	 0.00
200.00	13.02	 8.12	 0.00	 0.00
210.00	12.10	10.02	 0.00	 0.00
220.00	11.90	 8.92	 0.00	 0.00
230.00	11.12	 8.82	 0.00	 0.00
240.00	10.83	 5.82	 0.00	 0.00
250.00	10.64	 5.02	 0.00	 0.00
260.00	10.52	 3.72	 0.00	 0.00
270.00	10.37	 2.72	 0.00	 0.00
280.00	10.06	 1.12	 0.00	 0.00
290.00	 9.85	-0.78	-0.00	-0.00
300.00	 9.84	-1.08	-0.00	-0.00
310.00	 9.97	-3.28	-0.00	-0.00
320.00	10.18	-1.18	-0.00	-0.00
